Municipios;Edad (grupos quinquenales);Sexo;Periodo;Total
50013 Alcalá de Ebro;Todas las edades;Total;1 de enero de 2022;239
41004 Alcalá de Guadaíra;Todas las edades;Total;1 de enero de 2022;75.917
22014 Alcalá de Gurrea;Todas las edades;Total;1 de enero de 2022;230
28005 Alcalá de Henares;Todas las edades;Total;1 de enero de 2022;196.888
44012 Alcalá de la Selva;Todas las edades;Total;1 de enero de 2022;383
16008 Alcalá de la Vega;Todas las edades;Total;1 de enero de 2022;79
11001 Alcalá de los Gazules;Todas las edades;Total;1 de enero de 2022;5.227
50014 Alcalá de Moncayo;Todas las edades;Total;1 de enero de 2022;157
12004 Alcalà de Xivert;Todas las edades;Total;1 de enero de 2022;6.831
02007 Alcalá del Júcar;Todas las edades;Total;1 de enero de 2022;1.148
22015 Alcalá del Obispo;Todas las edades;Total;1 de enero de 2022;374
41005 Alcalá del Río;Todas las edades;Total;1 de enero de 2022;12.315
11002 Alcalá del Valle;Todas las edades;Total;1 de enero de 2022;4.982
23002 Alcalá la Real;Todas las edades;Total;1 de enero de 2022;21.556
03006 Alcalalí;Todas las edades;Total;1 de enero de 2022;1.349
22016 Alcampell;Todas las edades;Total;1 de enero de 2022;623
26007 Alcanadre;Todas las edades;Total;1 de enero de 2022;647
43004 Alcanar;Todas las edades;Total;1 de enero de 2022;9.612
25010 Alcanó;Todas las edades;Total;1 de enero de 2022;240
10008 Alcántara;Todas las edades;Total;1 de enero de 2022;1.361
30005 Alcantarilla;Todas las edades;Total;1 de enero de 2022;42.630
46016 Alcàntera de Xúquer;Todas las edades;Total;1 de enero de 2022;1.427
16009 Alcantud;Todas las edades;Total;1 de enero de 2022;51
49003 Alcañices;Todas las edades;Total;1 de enero de 2022;1.024
44013 Alcañiz;Todas las edades;Total;1 de enero de 2022;16.054
45005 Alcañizo;Todas las edades;Total;1 de enero de 2022;277
14003 Alcaracejos;Todas las edades;Total;1 de enero de 2022;1.493
02008 Alcaraz;Todas las edades;Total;1 de enero de 2022;1.307
25011 Alcarràs;Todas las edades;Total;1 de enero de 2022;9.637
46015 Alcàsser;Todas las edades;Total;1 de enero de 2022;10.396
29002 Alcaucín;Todas las edades;Total;1 de enero de 2022;2.487
23003 Alcaudete;Todas las edades;Total;1 de enero de 2022;10.347
45006 Alcaudete de la Jara;Todas las edades;Total;1 de enero de 2022;1.614
13005 Alcázar de San Juan;Todas las edades;Total;1 de enero de 2022;30.516
16010 Alcázar del Rey;Todas las edades;Total;1 de enero de 2022;134
47005 Alcazarén;Todas las edades;Total;1 de enero de 2022;643
30902 Alcázares, Los;Todas las edades;Total;1 de enero de 2022;17.603
13006 Alcoba;Todas las edades;Total;1 de enero de 2022;535
28006 Alcobendas;Todas las edades;Total;1 de enero de 2022;117.041
19009 Alcocer;Todas las edades;Total;1 de enero de 2022;315
09010 Alcocero de Mola;Todas las edades;Total;1 de enero de 2022;40
16011 Alcohujate;Todas las edades;Total;1 de enero de 2022;26
04007 Alcolea;Todas las edades;Total;1 de enero de 2022;831
13007 Alcolea de Calatrava;Todas las edades;Total;1 de enero de 2022;1.370
22017 Alcolea de Cinca;Todas las edades;Total;1 de enero de 2022;1.160
19010 Alcolea de las Peñas;Todas las edades;Total;1 de enero de 2022;12
45007 Alcolea de Tajo;Todas las edades;Total;1 de enero de 2022;824
19011 Alcolea del Pinar;Todas las edades;Total;1 de enero de 2022;326
41006 Alcolea del Río;Todas las edades;Total;1 de enero de 2022;3.308
03008 Alcoleja;Todas las edades;Total;1 de enero de 2022;196
25012 Alcoletge;Todas las edades;Total;1 de enero de 2022;3.470
10009 Alcollarín;Todas las edades;Total;1 de enero de 2022;269
42006 Alconaba;Todas las edades;Total;1 de enero de 2022;199
37012 Alconada;Todas las edades;Total;1 de enero de 2022;142
40005 Alconada de Maderuelo;Todas las edades;Total;1 de enero de 2022;24
06007 Alconchel;Todas las edades;Total;1 de enero de 2022;1.644
50015 Alconchel de Ariza;Todas las edades;Total;1 de enero de 2022;80
16012 Alconchel de la Estrella;Todas las edades;Total;1 de enero de 2022;77
06008 Alconera;Todas las edades;Total;1 de enero de 2022;750
04008 Alcóntar;Todas las edades;Total;1 de enero de 2022;538
12005 Alcora, l';Todas las edades;Total;1 de enero de 2022;10.468
28007 Alcorcón;Todas las edades;Total;1 de enero de 2022;170.296
44014 Alcorisa;Todas las edades;Total;1 de enero de 2022;3.252
19013 Alcoroches;Todas las edades;Total;1 de enero de 2022;122
03007 Alcosser;Todas las edades;Total;1 de enero de 2022;254
43005 Alcover;Todas las edades;Total;1 de enero de 2022;5.290
03009 Alcoy/Alcoi;Todas las edades;Total;1 de enero de 2022;58.960
22018 Alcubierre;Todas las edades;Total;1 de enero de 2022;399
42007 Alcubilla de Avellaneda;Todas las edades;Total;1 de enero de 2022;119
42008 Alcubilla de las Peñas;Todas las edades;Total;1 de enero de 2022;54
49004 Alcubilla de Nogales;Todas las edades;Total;1 de enero de 2022;116
13008 Alcubillas;Todas las edades;Total;1 de enero de 2022;452
46018 Alcublas;Todas las edades;Total;1 de enero de 2022;607
07003 Alcúdia;Todas las edades;Total;1 de enero de 2022;20.717
46020 Alcúdia de Crespins, l';Todas las edades;Total;1 de enero de 2022;5.224
04009 Alcudia de Monteagud;Todas las edades;Total;1 de enero de 2022;133
12006 Alcudia de Veo;Todas las edades;Total;1 de enero de 2022;195
46019 Alcúdia, l';Todas las edades;Total;1 de enero de 2022;12.176
10010 Alcuéscar;Todas las edades;Total;1 de enero de 2022;2.470
46021 Aldaia;Todas las edades;Total;1 de enero de 2022;32.656
47006 Aldea de San Miguel;Todas las edades;Total;1 de enero de 2022;214
35020 Aldea de San Nicolás, La;Todas las edades;Total;1 de enero de 2022;7.536
10012 Aldea del Cano;Todas las edades;Total;1 de enero de 2022;617
