Municipios;Edad (grupos quinquenales);Sexo;Periodo;Total
50178 Moros;Todas las edades;Total;1 de enero de 2022;299
36033 Mos;Todas las edades;Total;1 de enero de 2022;15.199
44159 Moscardón;Todas las edades;Total;1 de enero de 2022;52
44160 Mosqueruela;Todas las edades;Total;1 de enero de 2022;551
28092 Móstoles;Todas las edades;Total;1 de enero de 2022;208.761
16132 Mota de Altarejos;Todas las edades;Total;1 de enero de 2022;34
16133 Mota del Cuervo;Todas las edades;Total;1 de enero de 2022;6.069
47097 Mota del Marqués;Todas las edades;Total;1 de enero de 2022;332
16134 Motilla del Palancar;Todas las edades;Total;1 de enero de 2022;6.026
02052 Motilleja;Todas las edades;Total;1 de enero de 2022;660
18140 Motril;Todas las edades;Total;1 de enero de 2022;58.798
35013 Moya;Todas las edades;Total;1 de enero de 2022;7.870
16135 Moya;Todas las edades;Total;1 de enero de 2022;128
50179 Moyuela;Todas las edades;Total;1 de enero de 2022;251
37209 Mozárbez;Todas las edades;Total;1 de enero de 2022;510
40134 Mozoncillo;Todas las edades;Total;1 de enero de 2022;858
50180 Mozota;Todas las edades;Total;1 de enero de 2022;123
47098 Mucientes;Todas las edades;Total;1 de enero de 2022;659
34110 Mudá;Todas las edades;Total;1 de enero de 2022;80
47099 Mudarra, La;Todas las edades;Total;1 de enero de 2022;165
19196 Muduex;Todas las edades;Total;1 de enero de 2022;103
50181 Muel;Todas las edades;Total;1 de enero de 2022;1.479
50182 Muela, La;Todas las edades;Total;1 de enero de 2022;6.247
49134 Muelas de los Caballeros;Todas las edades;Total;1 de enero de 2022;181
49135 Muelas del Pan;Todas las edades;Total;1 de enero de 2022;588
31175 Mues;Todas las edades;Total;1 de enero de 2022;82
49136 Muga de Sayago;Todas las edades;Total;1 de enero de 2022;340
15051 Mugardos;Todas las edades;Total;1 de enero de 2022;5.246
32051 Muíños;Todas las edades;Total;1 de enero de 2022;1.424
30029 Mula;Todas las edades;Total;1 de enero de 2022;17.231
48068 Mundaka;Todas las edades;Total;1 de enero de 2022;1.866
50183 Munébrega;Todas las edades;Total;1 de enero de 2022;356
02053 Munera;Todas las edades;Total;1 de enero de 2022;3.422
48069 Mungia;Todas las edades;Total;1 de enero de 2022;17.662
44161 Muniesa;Todas las edades;Total;1 de enero de 2022;571
26098 Munilla;Todas las edades;Total;1 de enero de 2022;109
48007 Munitibar-Arbatzegi Gerrikaitz;Todas las edades;Total;1 de enero de 2022;473
08129 Muntanyola;Todas las edades;Total;1 de enero de 2022;700
05135 Muñana;Todas las edades;Total;1 de enero de 2022;463
05136 Muñico;Todas las edades;Total;1 de enero de 2022;79
05138 Muñogalindo;Todas las edades;Total;1 de enero de 2022;309
05139 Muñogrande;Todas las edades;Total;1 de enero de 2022;73
05140 Muñomer del Peco;Todas las edades;Total;1 de enero de 2022;109
40135 Muñopedro;Todas las edades;Total;1 de enero de 2022;317
05141 Muñopepe;Todas las edades;Total;1 de enero de 2022;102
05142 Muñosancho;Todas las edades;Total;1 de enero de 2022;89
05143 Muñotello;Todas las edades;Total;1 de enero de 2022;56
40136 Muñoveros;Todas las edades;Total;1 de enero de 2022;127
08139 Mura;Todas las edades;Total;1 de enero de 2022;232
27033 Muras;Todas las edades;Total;1 de enero de 2022;606
31176 Murchante;Todas las edades;Total;1 de enero de 2022;4.156
30030 Murcia;Todas las edades;Total;1 de enero de 2022;462.979
50184 Murero;Todas las edades;Total;1 de enero de 2022;104
24101 Murias de Paredes;Todas las edades;Total;1 de enero de 2022;346
47100 Muriel;Todas las edades;Total;1 de enero de 2022;118
42124 Muriel de la Fuente;Todas las edades;Total;1 de enero de 2022;57
42125 Muriel Viejo;Todas las edades;Total;1 de enero de 2022;78
31177 Murieta;Todas las edades;Total;1 de enero de 2022;347
50185 Murillo de Gállego;Todas las edades;Total;1 de enero de 2022;197
26099 Murillo de Río Leza;Todas las edades;Total;1 de enero de 2022;1.609
31178 Murillo el Cuende;Todas las edades;Total;1 de enero de 2022;664
31179 Murillo el Fruto;Todas las edades;Total;1 de enero de 2022;663
03091 Murla;Todas las edades;Total;1 de enero de 2022;540
07039 Muro;Todas las edades;Total;1 de enero de 2022;7.667
26100 Muro de Aguas;Todas las edades;Total;1 de enero de 2022;63
03092 Muro de Alcoy;Todas las edades;Total;1 de enero de 2022;9.303
26101 Muro en Cameros;Todas las edades;Total;1 de enero de 2022;35
15053 Muros;Todas las edades;Total;1 de enero de 2022;8.365
33039 Muros de Nalón;Todas las edades;Total;1 de enero de 2022;1.963
18141 Murtas;Todas las edades;Total;1 de enero de 2022;463
48908 Murueta;Todas las edades;Total;1 de enero de 2022;327
31180 Muruzábal;Todas las edades;Total;1 de enero de 2022;261
46177 Museros;Todas las edades;Total;1 de enero de 2022;6.663
48071 Muskiz;Todas las edades;Total;1 de enero de 2022;7.367
20057 Mutiloa;Todas las edades;Total;1 de enero de 2022;259
20056 Mutriku;Todas las edades;Total;1 de enero de 2022;5.304
03090 Mutxamel;Todas las edades;Total;1 de enero de 2022;26.192
15052 Muxía;Todas las edades;Total;1 de enero de 2022;4.486
48067 Muxika;Todas las edades;Total;1 de enero de 2022;1.483
48909 Nabarniz;Todas las edades;Total;1 de enero de 2022;261
04065 Nacimiento;Todas las edades;Total;1 de enero de 2022;512
42127 Nafría de Ucero;Todas las edades;Total;1 de enero de 2022;31
26102 Nájera;Todas las edades;Total;1 de enero de 2022;8.069
26103 Nalda;Todas las edades;Total;1 de enero de 2022;1.210
25145 Nalec;Todas las edades;Total;1 de enero de 2022;95
45107 Nambroca;Todas las edades;Total;1 de enero de 2022;5.020
46178 Nàquera/Náquera;Todas las edades;Total;1 de enero de 2022;7.728
16137 Narboneta;Todas las edades;Total;1 de enero de 2022;41
15054 Narón;Todas las edades;Total;1 de enero de 2022;38.938
05144 Narrillos del Álamo;Todas las edades;Total;1 de enero de 2022;63
05145 Narrillos del Rebollar;Todas las edades;Total;1 de enero de 2022;40
42128 Narros;Todas las edades;Total;1 de enero de 2022;49
37211 Narros de Matalayegua;Todas las edades;Total;1 de enero de 2022;215
05149 Narros de Saldueña;Todas las edades;Total;1 de enero de 2022;106
05147 Narros del Castillo;Todas las edades;Total;1 de enero de 2022;153
05148 Narros del Puerto;Todas las edades;Total;1 de enero de 2022;31
25025 Naut Aran;Todas las edades;Total;1 de enero de 2022;1.923
33040 Nava;Todas las edades;Total;1 de enero de 2022;5.236
05152 Nava de Arévalo;Todas las edades;Total;1 de enero de 2022;695
37213 Nava de Béjar;Todas las edades;Total;1 de enero de 2022;82
37214 Nava de Francia;Todas las edades;Total;1 de enero de 2022;125
40138 Nava de la Asunción;Todas las edades;Total;1 de enero de 2022;2.751
45108 Nava de Ricomalillo, La;Todas las edades;Total;1 de enero de 2022;493
09229 Nava de Roa;Todas las edades;Total;1 de enero de 2022;200
06090 Nava de Santiago, La;Todas las edades;Total;1 de enero de 2022;911
37215 Nava de Sotrobal;Todas las edades;Total;1 de enero de 2022;164
05153 Nava del Barco;Todas las edades;Total;1 de enero de 2022;87
47101 Nava del Rey;Todas las edades;Total;1 de enero de 2022;1.951
21051 Nava, La;Todas las edades;Total;1 de enero de 2022;247
37212 Navacarros;Todas las edades;Total;1 de enero de 2022;129
05151 Navacepedilla de Corneja;Todas las edades;Total;1 de enero de 2022;91
28093 Navacerrada;Todas las edades;Total;1 de enero de 2022;3.218
10130 Navaconcejo;Todas las edades;Total;1 de enero de 2022;2.054
05154 Navadijos;Todas las edades;Total;1 de enero de 2022;37
05155 Navaescurial;Todas las edades;Total;1 de enero de 2022;44
40139 Navafría;Todas las edades;Total;1 de enero de 2022;290
45109 Navahermosa;Todas las edades;Total;1 de enero de 2022;3.586
05156 Navahondilla;Todas las edades;Total;1 de enero de 2022;366
12081 Navajas;Todas las edades;Total;1 de enero de 2022;781
26104 Navajún;Todas las edades;Total;1 de enero de 2022;9
22160 Naval;Todas las edades;Total;1 de enero de 2022;263
05157 Navalacruz;Todas las edades;Total;1 de enero de 2022;215
28094 Navalafuente;Todas las edades;Total;1 de enero de 2022;1.574
28095 Navalagamella;Todas las edades;Total;1 de enero de 2022;2.809
45110 Navalcán;Todas las edades;Total;1 de enero de 2022;1.888
28096 Navalcarnero;Todas las edades;Total;1 de enero de 2022;31.379
42129 Navaleno;Todas las edades;Total;1 de enero de 2022;745
37216 Navales;Todas las edades;Total;1 de enero de 2022;315
40140 Navalilla;Todas las edades;Total;1 de enero de 2022;99
40141 Navalmanzano;Todas las edades;Total;1 de enero de 2022;1.033
05158 Navalmoral;Todas las edades;Total;1 de enero de 2022;356
37217 Navalmoral de Béjar;Todas las edades;Total;1 de enero de 2022;57
10131 Navalmoral de la Mata;Todas las edades;Total;1 de enero de 2022;16.784
45111 Navalmoralejo;Todas las edades;Total;1 de enero de 2022;51
45112 Navalmorales, Los;Todas las edades;Total;1 de enero de 2022;2.163
05159 Navalonguilla;Todas las edades;Total;1 de enero de 2022;205
05160 Navalosa;Todas las edades;Total;1 de enero de 2022;317
05161 Navalperal de Pinares;Todas las edades;Total;1 de enero de 2022;761
05162 Navalperal de Tormes;Todas las edades;Total;1 de enero de 2022;81
13059 Navalpino;Todas las edades;Total;1 de enero de 2022;203
45113 Navalucillos, Los;Todas las edades;Total;1 de enero de 2022;1.987
05163 Navaluenga;Todas las edades;Total;1 de enero de 2022;2.136
10132 Navalvillar de Ibor;Todas las edades;Total;1 de enero de 2022;387
06091 Navalvillar de Pela;Todas las edades;Total;1 de enero de 2022;4.371
37218 Navamorales;Todas las edades;Total;1 de enero de 2022;42
45114 Navamorcuende;Todas las edades;Total;1 de enero de 2022;595
05164 Navaquesera;Todas las edades;Total;1 de enero de 2022;24
08140 Navarcles;Todas las edades;Total;1 de enero de 2022;6.067
50186 Navardún;Todas las edades;Total;1 de enero de 2022;35
40142 Navares de Ayuso;Todas las edades;Total;1 de enero de 2022;50
40143 Navares de Enmedio;Todas las edades;Total;1 de enero de 2022;91
40144 Navares de las Cuevas;Todas las edades;Total;1 de enero de 2022;22
01041 Navaridas;Todas las edades;Total;1 de enero de 2022;200
05165 Navarredonda de Gredos;Todas las edades;Total;1 de enero de 2022;429
37219 Navarredonda de la Rinconada;Todas las edades;Total;1 de enero de 2022;163
28097 Navarredonda y San Mamés;Todas las edades;Total;1 de enero de 2022;138
05166 Navarredondilla;Todas las edades;Total;1 de enero de 2022;156
46179 Navarrés;Todas las edades;Total;1 de enero de 2022;2.989
26105 Navarrete;Todas las edades;Total;1 de enero de 2022;3.016
05167 Navarrevisca;Todas las edades;Total;1 de enero de 2022;289
08141 Navàs;Todas las edades;Total;1 de enero de 2022;6.018
09230 Navas de Bureba;Todas las edades;Total;1 de enero de 2022;27
13060 Navas de Estena;Todas las edades;Total;1 de enero de 2022;292
19197 Navas de Jadraque, Las;Todas las edades;Total;1 de enero de 2022;33
02054 Navas de Jorquera;Todas las edades;Total;1 de enero de 2022;528
41066 Navas de la Concepción, Las;Todas las edades;Total;1 de enero de 2022;1.552
40145 Navas de Oro;Todas las edades;Total;1 de enero de 2022;1.272
40904 Navas de Riofrío;Todas las edades;Total;1 de enero de 2022;413
40146 Navas de San Antonio;Todas las edades;Total;1 de enero de 2022;356
23063 Navas de San Juan;Todas las edades;Total;1 de enero de 2022;4.465
10133 Navas del Madroño;Todas las edades;Total;1 de enero de 2022;1.256
05168 Navas del Marqués, Las;Todas las edades;Total;1 de enero de 2022;5.268
28099 Navas del Rey;Todas las edades;Total;1 de enero de 2022;3.134
31181 Navascués/Nabaskoze;Todas las edades;Total;1 de enero de 2022;118
37221 Navasfrías;Todas las edades;Total;1 de enero de 2022;395
17111 Navata;Todas las edades;Total;1 de enero de 2022;1.465
05169 Navatalgordo;Todas las edades;Total;1 de enero de 2022;238
05170 Navatejares;Todas las edades;Total;1 de enero de 2022;58
25146 Navès;Todas las edades;Total;1 de enero de 2022;305
10134 Navezuelas;Todas las edades;Total;1 de enero de 2022;641
33041 Navia;Todas las edades;Total;1 de enero de 2022;8.263
27034 Navia de Suarna;Todas las edades;Total;1 de enero de 2022;997
49137 Navianos de Valverde;Todas las edades;Total;1 de enero de 2022;171
31182 Nazar;Todas las edades;Total;1 de enero de 2022;40
09231 Nebreda;Todas las edades;Total;1 de enero de 2022;53
15055 Neda;Todas las edades;Total;1 de enero de 2022;4.972
19198 Negredo;Todas las edades;Total;1 de enero de 2022;16
15056 Negreira;Todas las edades;Total;1 de enero de 2022;6.811
37222 Negrilla de Palencia;Todas las edades;Total;1 de enero de 2022;80
27035 Negueira de Muñiz;Todas las edades;Total;1 de enero de 2022;228
09232 Neila;Todas las edades;Total;1 de enero de 2022;139
05171 Neila de San Miguel;Todas las edades;Total;1 de enero de 2022;64
42130 Nepas;Todas las edades;Total;1 de enero de 2022;51
29075 Nerja;Todas las edades;Total;1 de enero de 2022;21.450
02055 Nerpio;Todas las edades;Total;1 de enero de 2022;1.180
21052 Nerva;Todas las edades;Total;1 de enero de 2022;5.100
26106 Nestares;Todas las edades;Total;1 de enero de 2022;87
18903 Nevada;Todas las edades;Total;1 de enero de 2022;1.086
36034 Neves, As;Todas las edades;Total;1 de enero de 2022;3.746
21053 Niebla;Todas las edades;Total;1 de enero de 2022;4.196
40148 Nieva;Todas las edades;Total;1 de enero de 2022;255
26107 Nieva de Cameros;Todas las edades;Total;1 de enero de 2022;86
36035 Nigrán;Todas las edades;Total;1 de enero de 2022;18.054
18143 Nigüelas;Todas las edades;Total;1 de enero de 2022;1.225
50187 Nigüella;Todas las edades;Total;1 de enero de 2022;59
05172 Niharra;Todas las edades;Total;1 de enero de 2022;164
04066 Níjar;Todas las edades;Total;1 de enero de 2022;31.816
18144 Nívar;Todas las edades;Total;1 de enero de 2022;1.099
31088 Noáin (Valle de Elorz)/Noain (Elortzibar);Todas las edades;Total;1 de enero de 2022;8.367
23064 Noalejo;Todas las edades;Total;1 de enero de 2022;1.856
45115 Noblejas;Todas las edades;Total;1 de enero de 2022;3.857
24102 Noceda del Bierzo;Todas las edades;Total;1 de enero de 2022;612
45116 Noez;Todas las edades;Total;1 de enero de 2022;942
27037 Nogais, As;Todas las edades;Total;1 de enero de 2022;991
34112 Nogal de las Huertas;Todas las edades;Total;1 de enero de 2022;40
06092 Nogales;Todas las edades;Total;1 de enero de 2022;633
32052 Nogueira de Ramuín;Todas las edades;Total;1 de enero de 2022;2.081
44163 Noguera de Albarracín;Todas las edades;Total;1 de enero de 2022;138
44164 Nogueras;Todas las edades;Total;1 de enero de 2022;27
44165 Nogueruelas;Todas las edades;Total;1 de enero de 2022;205
15057 Noia;Todas las edades;Total;1 de enero de 2022;14.140
39047 Noja;Todas las edades;Total;1 de enero de 2022;2.664
42131 Nolay;Todas las edades;Total;1 de enero de 2022;57
45117 Nombela;Todas las edades;Total;1 de enero de 2022;881
50188 Nombrevilla;Todas las edades;Total;1 de enero de 2022;35
50189 Nonaspe;Todas las edades;Total;1 de enero de 2022;1.011
33042 Noreña;Todas las edades;Total;1 de enero de 2022;5.088
08142 Nou de Berguedà, La;Todas las edades;Total;1 de enero de 2022;179
43097 Nou de Gaià, La;Todas las edades;Total;1 de enero de 2022;636
22162 Novales;Todas las edades;Total;1 de enero de 2022;155
50190 Novallas;Todas las edades;Total;1 de enero de 2022;845
03093 Novelda;Todas las edades;Total;1 de enero de 2022;25.592
46180 Novelé/Novetlè;Todas las edades;Total;1 de enero de 2022;861
45118 Novés;Todas las edades;Total;1 de enero de 2022;3.236
42132 Noviercas;Todas las edades;Total;1 de enero de 2022;156
50191 Novillas;Todas las edades;Total;1 de enero de 2022;514
03094 Nucia, la;Todas las edades;Total;1 de enero de 2022;18.624
22163 Nueno;Todas las edades;Total;1 de enero de 2022;584
14046 Nueva Carteya;Todas las edades;Total;1 de enero de 2022;5.347
47102 Nueva Villa de las Torres;Todas las edades;Total;1 de enero de 2022;282
50192 Nuévalos;Todas las edades;Total;1 de enero de 2022;279
28100 Nuevo Baztán;Todas las edades;Total;1 de enero de 2022;6.760
50193 Nuez de Ebro;Todas las edades;Total;1 de enero de 2022;889
12082 Nules;Todas las edades;Total;1 de enero de 2022;13.449
43098 Nulles;Todas las edades;Total;1 de enero de 2022;541
45119 Numancia de la Sagra;Todas las edades;Total;1 de enero de 2022;5.287
45120 Nuño Gómez;Todas las edades;Total;1 de enero de 2022;145
10135 Nuñomoral;Todas las edades;Total;1 de enero de 2022;1.218
31183 Obanos;Todas las edades;Total;1 de enero de 2022;938
14047 Obejo;Todas las edades;Total;1 de enero de 2022;2.054
44167 Obón;Todas las edades;Total;1 de enero de 2022;35
45121 Ocaña;Todas las edades;Total;1 de enero de 2022;13.185
19199 Ocentejo;Todas las edades;Total;1 de enero de 2022;16
31185 Ochagavía/Otsagabia;Todas las edades;Total;1 de enero de 2022;495
26109 Ochánduri;Todas las edades;Total;1 de enero de 2022;79
31184 Oco;Todas las edades;Total;1 de enero de 2022;73
26108 Ocón;Todas las edades;Total;1 de enero de 2022;315
25148 Odèn;Todas las edades;Total;1 de enero de 2022;252
08143 Òdena;Todas las edades;Total;1 de enero de 2022;3.728
31186 Odieta;Todas las edades;Total;1 de enero de 2022;367
44168 Odón;Todas las edades;Total;1 de enero de 2022;214
24103 Oencia;Todas las edades;Total;1 de enero de 2022;267
17112 Ogassa;Todas las edades;Total;1 de enero de 2022;222
18145 Ogíjares;Todas las edades;Total;1 de enero de 2022;14.627
04067 Ohanes;Todas las edades;Total;1 de enero de 2022;551
36036 Oia;Todas las edades;Total;1 de enero de 2022;3.080
20063 Oiartzun;Todas las edades;Total;1 de enero de 2022;10.362
32053 Oímbra;Todas las edades;Total;1 de enero de 2022;1.730
31187 Oiz;Todas las edades;Total;1 de enero de 2022;124
26110 Ojacastro;Todas las edades;Total;1 de enero de 2022;187
29076 Ojén;Todas las edades;Total;1 de enero de 2022;4.218
30031 Ojós;Todas las edades;Total;1 de enero de 2022;522
44169 Ojos Negros;Todas las edades;Total;1 de enero de 2022;328
05173 Ojos-Albos;Todas las edades;Total;1 de enero de 2022;83
01042 Okondo;Todas las edades;Total;1 de enero de 2022;1.187
20058 Olaberria;Todas las edades;Total;1 de enero de 2022;914
31188 Olaibar;Todas las edades;Total;1 de enero de 2022;395
31189 Olazti/Olazagutía;Todas las edades;Total;1 de enero de 2022;1.490
44171 Olba;Todas las edades;Total;1 de enero de 2022;266
34113 Olea de Boedo;Todas las edades;Total;1 de enero de 2022;37
15058 Oleiros;Todas las edades;Total;1 de enero de 2022;37.271
31190 Olejua;Todas las edades;Total;1 de enero de 2022;49
08145 Olèrdola;Todas las edades;Total;1 de enero de 2022;3.884
08146 Olesa de Bonesvalls;Todas las edades;Total;1 de enero de 2022;2.016
08147 Olesa de Montserrat;Todas las edades;Total;1 de enero de 2022;24.272
25149 Oliana;Todas las edades;Total;1 de enero de 2022;1.849
45122 Olías del Rey;Todas las edades;Total;1 de enero de 2022;8.469
44172 Oliete;Todas las edades;Total;1 de enero de 2022;330
25150 Oliola;Todas las edades;Total;1 de enero de 2022;196
31191 Olite/Erriberri;Todas las edades;Total;1 de enero de 2022;3.980
25151 Olius;Todas las edades;Total;1 de enero de 2022;985
46181 Oliva;Todas las edades;Total;1 de enero de 2022;25.179
06093 Oliva de la Frontera;Todas las edades;Total;1 de enero de 2022;5.010
06094 Oliva de Mérida;Todas las edades;Total;1 de enero de 2022;1.674
10136 Oliva de Plasencia;Todas las edades;Total;1 de enero de 2022;285
35014 Oliva, La;Todas las edades;Total;1 de enero de 2022;27.945
19200 Olivar, El;Todas las edades;Total;1 de enero de 2022;61
41067 Olivares;Todas las edades;Total;1 de enero de 2022;9.444
47103 Olivares de Duero;Todas las edades;Total;1 de enero de 2022;307
16139 Olivares de Júcar;Todas las edades;Total;1 de enero de 2022;294
08148 Olivella;Todas las edades;Total;1 de enero de 2022;4.339
06095 Olivenza;Todas las edades;Total;1 de enero de 2022;11.832
26111 Ollauri;Todas las edades;Total;1 de enero de 2022;311
46183 Olleria, l';Todas las edades;Total;1 de enero de 2022;8.355
19201 Olmeda de Cobeta;Todas las edades;Total;1 de enero de 2022;59
19202 Olmeda de Jadraque, La;Todas las edades;Total;1 de enero de 2022;14
16140 Olmeda de la Cuesta;Todas las edades;Total;1 de enero de 2022;21
28101 Olmeda de las Fuentes;Todas las edades;Total;1 de enero de 2022;376
16141 Olmeda del Rey;Todas las edades;Total;1 de enero de 2022;134
16142 Olmedilla de Alarcón;Todas las edades;Total;1 de enero de 2022;136
16143 Olmedilla de Eliz;Todas las edades;Total;1 de enero de 2022;17
09235 Olmedillo de Roa;Todas las edades;Total;1 de enero de 2022;196
47104 Olmedo;Todas las edades;Total;1 de enero de 2022;3.554
37223 Olmedo de Camaces;Todas las edades;Total;1 de enero de 2022;100
49138 Olmillos de Castro;Todas las edades;Total;1 de enero de 2022;207
09236 Olmillos de Muñó;Todas las edades;Total;1 de enero de 2022;36
47105 Olmos de Esgueva;Todas las edades;Total;1 de enero de 2022;186
34114 Olmos de Ojeda;Todas las edades;Total;1 de enero de 2022;195
47106 Olmos de Peñafiel;Todas las edades;Total;1 de enero de 2022;42
44173 Olmos, Los;Todas las edades;Total;1 de enero de 2022;120
46182 Olocau;Todas las edades;Total;1 de enero de 2022;2.148
12083 Olocau del Rey;Todas las edades;Total;1 de enero de 2022;119
40149 Olombrada;Todas las edades;Total;1 de enero de 2022;517
31192 Olóriz/Oloritz;Todas las edades;Total;1 de enero de 2022;212
08149 Olost;Todas las edades;Total;1 de enero de 2022;1.206
17114 Olot;Todas las edades;Total;1 de enero de 2022;36.716
25152 Oluges, Les;Todas las edades;Total;1 de enero de 2022;166
04068 Olula de Castro;Todas las edades;Total;1 de enero de 2022;192
04069 Olula del Río;Todas las edades;Total;1 de enero de 2022;6.259
08144 Olvan;Todas las edades;Total;1 de enero de 2022;876
42134 Ólvega;Todas las edades;Total;1 de enero de 2022;3.673
22164 Olvena;Todas las edades;Total;1 de enero de 2022;67
11024 Olvera;Todas las edades;Total;1 de enero de 2022;7.974
50194 Olvés;Todas las edades;Total;1 de enero de 2022;110
24104 Omañas, Las;Todas las edades;Total;1 de enero de 2022;248
25153 Omellons, Els;Todas las edades;Total;1 de enero de 2022;198
25154 Omells de na Gaia, Els;Todas las edades;Total;1 de enero de 2022;127
42135 Oncala;Todas las edades;Total;1 de enero de 2022;65
12084 Onda;Todas las edades;Total;1 de enero de 2022;25.099
03095 Ondara;Todas las edades;Total;1 de enero de 2022;7.085
48073 Ondarroa;Todas las edades;Total;1 de enero de 2022;8.246
03096 Onil;Todas las edades;Total;1 de enero de 2022;7.580
33043 Onís;Todas las edades;Total;1 de enero de 2022;735
45123 Ontígola;Todas las edades;Total;1 de enero de 2022;4.752
46184 Ontinyent;Todas las edades;Total;1 de enero de 2022;35.946
22165 Ontiñena;Todas las edades;Total;1 de enero de 2022;514
02056 Ontur;Todas las edades;Total;1 de enero de 2022;1.934
24105 Onzonilla;Todas las edades;Total;1 de enero de 2022;1.845
09238 Oña;Todas las edades;Total;1 de enero de 2022;976
20059 Oñati;Todas las edades;Total;1 de enero de 2022;11.515
09239 Oquillas;Todas las edades;Total;1 de enero de 2022;51
03097 Orba;Todas las edades;Total;1 de enero de 2022;2.348
37224 Orbada, La;Todas las edades;Total;1 de enero de 2022;184
31195 Orbaizeta;Todas las edades;Total;1 de enero de 2022;191
09241 Orbaneja Riopico;Todas las edades;Total;1 de enero de 2022;355
31196 Orbara;Todas las edades;Total;1 de enero de 2022;33
05174 Orbita;Todas las edades;Total;1 de enero de 2022;79
50195 Orcajo;Todas las edades;Total;1 de enero de 2022;57
18146 Orce;Todas las edades;Total;1 de enero de 2022;1.148
23065 Orcera;Todas las edades;Total;1 de enero de 2022;1.752
15059 Ordes;Todas las edades;Total;1 de enero de 2022;12.589
19203 Ordial, El;Todas las edades;Total;1 de enero de 2022;39
17115 Ordis;Todas las edades;Total;1 de enero de 2022;373
20076 Ordizia;Todas las edades;Total;1 de enero de 2022;10.424
19204 Orea;Todas las edades;Total;1 de enero de 2022;189
40150 Orejana;Todas las edades;Total;1 de enero de 2022;67
06096 Orellana de la Sierra;Todas las edades;Total;1 de enero de 2022;252
06097 Orellana la Vieja;Todas las edades;Total;1 de enero de 2022;2.603
20905 Orendain;Todas las edades;Total;1 de enero de 2022;246
50196 Orera;Todas las edades;Total;1 de enero de 2022;116
50197 Orés;Todas las edades;Total;1 de enero de 2022;95
20060 Orexa;Todas las edades;Total;1 de enero de 2022;114
25155 Organyà;Todas las edades;Total;1 de enero de 2022;796
45124 Orgaz;Todas las edades;Total;1 de enero de 2022;2.584
18147 Órgiva;Todas las edades;Total;1 de enero de 2022;5.791
04070 Oria;Todas las edades;Total;1 de enero de 2022;2.212
03099 Orihuela;Todas las edades;Total;1 de enero de 2022;80.784
44174 Orihuela del Tremedal;Todas las edades;Total;1 de enero de 2022;454
20061 Orio;Todas las edades;Total;1 de enero de 2022;6.062
08150 Orís;Todas las edades;Total;1 de enero de 2022;347
31197 Orísoain;Todas las edades;Total;1 de enero de 2022;72
08151 Oristà;Todas las edades;Total;1 de enero de 2022;573
31906 Orkoien;Todas las edades;Total;1 de enero de 2022;4.095
20062 Ormaiztegi;Todas las edades;Total;1 de enero de 2022;1.242
31198 Oronz/Orontze;Todas las edades;Total;1 de enero de 2022;49
45125 Oropesa;Todas las edades;Total;1 de enero de 2022;2.607
12085 Oropesa del Mar/Orpesa;Todas las edades;Total;1 de enero de 2022;10.184
15060 Oroso;Todas las edades;Total;1 de enero de 2022;7.572
38026 Orotava, La;Todas las edades;Total;1 de enero de 2022;42.434
31199 Oroz-Betelu/Orotz-Betelu;Todas las edades;Total;1 de enero de 2022;139
48075 Orozko;Todas las edades;Total;1 de enero de 2022;2.664
08152 Orpí;Todas las edades;Total;1 de enero de 2022;159
31211 Orreaga/Roncesvalles;Todas las edades;Total;1 de enero de 2022;19
44175 Orrios;Todas las edades;Total;1 de enero de 2022;123
08153 Òrrius;Todas las edades;Total;1 de enero de 2022;793
26112 Ortigosa de Cameros;Todas las edades;Total;1 de enero de 2022;219
40151 Ortigosa de Pestaño;Todas las edades;Total;1 de enero de 2022;46
40901 Ortigosa del Monte;Todas las edades;Total;1 de enero de 2022;567
15061 Ortigueira;Todas las edades;Total;1 de enero de 2022;5.420
48083 Ortuella;Todas las edades;Total;1 de enero de 2022;8.466
28102 Orusco de Tajuña;Todas las edades;Total;1 de enero de 2022;1.326
03098 Orxeta;Todas las edades;Total;1 de enero de 2022;812
25156 Os de Balaguer;Todas las edades;Total;1 de enero de 2022;1.046
16145 Osa de la Vega;Todas las edades;Total;1 de enero de 2022;447
50198 Oseja;Todas las edades;Total;1 de enero de 2022;52
24106 Oseja de Sajambre;Todas las edades;Total;1 de enero de 2022;236
50199 Osera de Ebro;Todas las edades;Total;1 de enero de 2022;413
05175 Oso, El;Todas las edades;Total;1 de enero de 2022;144
17116 Osor;Todas las edades;Total;1 de enero de 2022;423
34116 Osornillo;Todas las edades;Total;1 de enero de 2022;56
34901 Osorno la Mayor;Todas las edades;Total;1 de enero de 2022;1.159
02057 Ossa de Montiel;Todas las edades;Total;1 de enero de 2022;2.215
22167 Osso de Cinca;Todas las edades;Total;1 de enero de 2022;650
25157 Ossó de Sió;Todas las edades;Total;1 de enero de 2022;193
41068 Osuna;Todas las edades;Total;1 de enero de 2022;17.442
31200 Oteiza;Todas las edades;Total;1 de enero de 2022;931
45126 Otero;Todas las edades;Total;1 de enero de 2022;357
49139 Otero de Bodas;Todas las edades;Total;1 de enero de 2022;149
40152 Otero de Herreros;Todas las edades;Total;1 de enero de 2022;962
18148 Otívar;Todas las edades;Total;1 de enero de 2022;1.004
46185 Otos;Todas las edades;Total;1 de enero de 2022;428
48072 Otxandio;Todas las edades;Total;1 de enero de 2022;1.336
